"","text"
"21","yg ngehastag lockdown mending dicari tau dan dibaca dl damk dr lockdown tsb ga smudah itu lockdown  cmiiw"
"22","yg menyarankan lockdown suruh melihat negara lainjgn cuma ngomongdamk dari kebijakan akan sangat luassaat ini yg dibutuhkan saling menguatkan bukan saling menghujat dan memovokasi seolah merintah tdk mammari kita semua rakyat dukung dan ikuti arahan merintah sj"
"23","yg masalah besar itu merintah sat tidak berani utk lockdown negara indonesia mencegah nyebar luasan virus covid kami berhara bak esiden bisa tegas dlam mengatsi lockdown secetnya demi menyelamatkan nyawa rakyat indonesia ncasila abadi"
"24","yg koar koar lockdown hanya osisi yg tdk memikirkan damk nyateta setelah terjadi damk nya sangat buruk mereka akan menghujat ber silid silid dukungjokowibasmicorona"
"25","yg dari kmrn minta lockdown gua tau lu ngen negara ricuh org miskin kelaran banyak org jd stres semoga lu mati duluan damk lockdown warga miskin malaysia dikabarkan mulai kelaran simak faktanya lewat "
"26","yg bikin rak randa indonesia adalah badut litik yg haus kekuasaan bermai diatas derita virus corona congor yg menyudutkan merintah itu lebih bahaya dari covid saat nya sekarang bersatu lawan covid stounggangicorona dukungjokowibasmicoronactwittercomwzzmkav"
"27","yg bikin indonesia kena virus corona sia  sejak awal rakyat udah minta nerbangan dr dan ke china di hentikan tmerintah enggan karena takut riwisata se sami di beri diskon lg lu kemana gk ada bela rakyat bahkan sekarang covid udah masuk kabinet nih"
"28","yg bikin covid cet menyebar di indonesia salah satunya orangorang yg ngomong gausah takut sama corona mati udah diatur allah merintah lagi gencargencar nya nanganin virus ini bacot masyarakatnya malah samh"
"29","yg berat kan merintah tan lockdown damk saat ini sdh terasa lisi sdh reesif di manamana belum diresmikan cm karna merintah takut keluar duitnya aja toh skrg malah buka rekening donasi"
"30","yg akan ling merasakan damk lockdown adalah masyarakat kecil ini akan memicu kekisruhan lainnya contoh saja india yg merintahnya saja meminta maaf k rakyat karena kurang oimal dalam kebijakan lockdown"
"31","yg akan ling merasakan damk lockdown adalah masyarakat kecil ini akan memicu kekisruhan lainnya contoh saja india yg merintahnya saja meminta maaf k rakyat karena kurang oimal dalam kebijakan lockdown"
"32","yes dok semoga masyarakat indonesia bisa lebih dewasa dalam menyika banyak hal mari dukung nakes yang sibuk merawat sodara kita jgn dijauhi juga mari dukung merintah negara lain juga saling dukung jgn sami kita menghujat semua yang sedang berjuang atasi covid  "
"33","yaudah selesai cuma mau ngasih tau aja kalo misal nya di lockdown ta dari atas nya cuma nyuruh aja kita malah kena damk nya bisa mati kelaran ikutin aja gimana aturan nya yang nting kita bisa bawa badan dan lang bawa uang buat keluarga makan "
"34","yaudah lockdown rsial terbatas dirumah dia aja kalau rekomendasinya  bulan mah biar rasain damk dari omongannya sendiri "
"35","yaudah lockdown rsial terbatas dirumah dia aja kalau rekomendasinya  bulan mah biar rasain damk dari omongannya sendiri "
"36","yang terhormat kebijakan merintah yang salah adalah ketika virus ncov  corona  covid merebak malah membuat kebijakan insentif riwisata wisatawan asing yg datang ada kemungkinan membawa virus tersebut sehingga menular di indonesia "
"37","yang terhormat kebijakan merintah yang salah adalah ketika virus ncov  corona  covid merebak malah membuat kebijakan insentif riwisata wisatawan asing yg datang ada kemungkinan membawa virus tersebut sehingga menular di indonesia "
"38","yang terdamk maksudnya gimana k  bukan kah rata seluruh ovinsi dan kabuten kota di indonesia sudah terdamk a mesti kebijakan bak baru bisa kami harus terkena wabah covid baru kebijakan merintah baru bisa nikmati lalu a gunanya stay at homeyang suruh lockdown sti orang yang tidak tau damk sebenernya buat diri mereka sendiri ikutin aja dulu arahan merintah dengan benaryang sangat terlihat jelas dari nanganan covid di indonesia adalah bacotnya jabat merintah satyang sangat disayangkan"
"39"," ditengah makin merebaknya covid "
"40"," merebak juga celaan dan kritik yang cenderung tidak membangun da merintah  dahal itu semua bisa mengganggu bangkitnya ihsg yang sedang lemah yang da akhirnya berdamk da rtumbuhan ekonomi indonesiayang sti kekomkan merintah dan rakyat italia menghada wabah covid  tan bumbu agama beda dengan kita indonesia"
"41","semu karena ulah kadal gurun yang mengkritik kebijakan merintah soal ndemi covid ini sebetulnya maunya a sih nya kebijakan a yg cocok buat solusi di indonesia mbok ya o bikin trus dirkan ke merintah t hitungan biaya dan resiko juga sekalian ya jgn asal usul doangyang masih nyalahin merintah indonesia"
"42"," bisa dibaca lah ini i think all govt will always do the best for their country"
"43"," ta ya memang semuanya sti kewalahan dengan membludaknya sien kasus covid"
"44"," belum lagi sien dengan nyakit lain yang masih berani krn tidak taâu malu mengkritik merintah menangani covid hanya barisan sakit hati kadrun busuk yg tidak rnah mengaca diri x sudah ada kutil diotaknya yg jauh lebih berbahaya dari virus corona"
"45"," mari bersama bekerja menyongsong indonesia maju merdekayang harus didemo tuh bukan gubernur"
"46"," ta rusahaan temt bekerja yang gak taat kebijakan merintah kalian yang kemaren koar koar lockdown skg kena damk nya nyalahin lagiyang gue heran nih masa iya indonesia banyak ilmuan banyak universitas fakultas kedokteran masa ga bisa ngatasin covid  secara merata bukan saya nyalahin merintah  koknya aneh lah birokrasi indonesia ini lockdownnasionalserentakyang disayangkan dalam situasi kaya gini tuh merintah ga transransi soal keadaan saat ini dan media juga ga ngebantu ngasih informasi tentang damk sitif dan negatif lockdown disuatu daerahnegarayang dibutuhkan indonesia saat ini adalah dukungan moril seluruh rakyat buat ra gugus den dan merintah baik itu sat maun daerah"
"47"," insya allah"
"48",""
"49",""
"50"," semua keusan merintah bisa meredam sebaran covid yang artinya"
"51"," ndemi covid di indonesia masih terus berlanjut merintah mening gosah tutututun deh yang ada di otak merintah indonesia harus selalu rank  bener dongg"
"52"," indonesia rank  kematian akibat covid seasia tenggara yakinkah kita dengan data merintah mengenai jumlah stif covid  di indonesiayakin merintah tidak akan mam mengelola lockdown jutaan yg kena damk nye klo lockdown sti italy formulasi lockdown yg tet untuk ncegahan cc k woy k darurat"
"53"," indonesia butuh mimnyakin neh jokowi telah lajari lockdown lockdownnow covid jokowi beralasan telah memlajari karakter hingga damk sejumlah negara di dunia yang melakukan lockdown yaa kita memang tidak sia rantai komando informasi gak jalan merintah sat dan daerah jalan sendiri dari segi ekonomi"
"54"," banyak rakyat indonesia yang kerja harian"
"55"," kalau gak kerja ya gak makan semoga covid segera berakhir dan berlalu aamiinyaa gimana kalau gagal lebih baik mencegah darida mengobati lebih baik menyiaan an b jangan rnah menggamngkan suatu masalah kesalahan rtama merintah indonesia terhadacovid adalah meremehkan masalah jangan sami terulangyaa allah smg tdk terjadi di indonesia smg merintah sat segera sadar dan bergerak cet menangani ini satu nyawa sj sangat berharga jangan lg katakan covid  tdk tahan cucaca di indonesia a yg tjd d ekuador adlh keadaanya nyata tros"
"56"," lembab dan byk yg tewasya makanya itu merintah gk mau sembarangan ambil jalan lockdown karena untuk menjalankan lockdown"
"57"," harus dikirkan gmana membantu rakyat yang terkena damk lockdowndan itu tidak mudah bantuan sosial ingat waktu gem lokal kmrn banyak bantuan kmnsiaan yang di ramsya jangan salahin merintah juga dong"
"58"," rusahan yg tidak mentaati raturan merintah"
"59"," kemaren a minta lockdown trending"
"60"," skg ada damk nya dri aturan itu komen jugaya inilah mungkin efek ketidaksian merintah dari awal untuk mencegah virus covid masuk ke indonesia alagi dalam nanganan masih amburadul didaerah semoga semuanya berakhir dan kembali serti semula ya harus sialah kur cara ling efektif walau damk ekonominya gde lockdown is in effect di semua negara yang susct coronanya tinggiya emang harus ada yg dikorbankan gak sih italy lockdown juga sti govtnya udah mikir damk multidimensinya tmsk ekonomi an rtimbangannya"
"61"," kalaun benar merely krn takut ekonomi kn"
"62"," otak gue beneran ga bs oses bahwa uang evails over nyawa manusia sadya bukan indonesia kl g seenaknyakan kalo kena tinggal nyalahin merintah dengan alasan g mam menanggulangi covid welcometoindonesiaya beda bro indo dilockdown damk buat megara bisa sgt besar terutama dari sisi ekonomi negara kalo negara maju diluar sama bisa neran lockdown karna stabilitas ekonomi mereka da oke"
"63"," indo saat ini ga memungkinkan untuk lockdown negara fullya allah korban semakin meningkat jika merintah tidak tegas juga untuk mengeluarkan kebijakan lockdown maka  juta nduduk ri akan meninggal karena covid  kata ra ahli china aja mau lockdown jilid  indonesia kye naudzubillah ya allah  a tindakan merintah agar covid tidak menyebar luas hanya memrbanyak test dan himbauan jaga jarak serta diam dirumah sedangkan nyebaran nularan nya lebih cet dan tambah banyak lagi mau nunggu hingga semua rakyat indonesia terjangkit cc berarti merintah berbohong data yang di samikan adalah lsu ntesan bebera negara menghimbau untuk warga negaranya keluar dari indonesia mungkin k bisa angkat dalam diskusi  menguak malsuan data covid wow"
"64"," minta lockdown"
"65"," sianggak ikutan tanggungjawab damk resiko lockdown jgn cmn teriak lockdown trus ada chaos situ cmn bilang itu urusan merintahwoi rakyat indonesia"
"66"," jangan sekali sekali meremehkan wabah covid"
"67"," lihat amerika ntang nting"
"68"," jadi tolong sebulan ke den tuh k anjuran merintah"
"69"," jika harus mencari nafkah lakukan dengan hati hati"
"70"," memakai masker"
"71"," ambil jarak aman dan tetawasda"
"72"," ini ujian kitawoi rakyat indonesia"
"73"," jangan sekali sekali meremehkan wabah covid"
"74"," lihat amerika ntang nting"
"75"," jadi tolong sebulan ke den tuh k anjuran merintah"
"76"," jika harus mencari nafkah lakukan dengan hati hati"
"77"," memakai masker"
"78"," ambil jarak aman dan tetawasda"
"79"," ini ujian kitawkwkwk dikira ga berharap"
"80"," lagian berharake merintah ta ko ga dukung merintah buat ngambil langkah ya gimana ya"
"81"," udah ditonton aja videonya biar tau damk lockdown tuh gimana ke keseluruhnya bukan ke satu hakwkwkw dia kir omnibus law bukan suatu urgensi di tengah ndemic serti ini damk a yg dihasilkan"
"82"," bla bla justru memrmasalahkan lockdown yg sudah diteraan dan works di bebera negara sungguh sangat ntar aliansi shinobi yg ga ngerti gimana caranya ninjutsu iniwkwkw dia kir omnibus law bukan suatu urgensi di tengah ndemic serti ini damk a yg dihasilkan"
"83"," bla bla justru memrmasalahkan lockdown yg sudah diteraan dan works di bebera negara sungguh sangat ntar aliansi shinobi yg ga ngerti gimana caranya ninjutsu iniwho sdh jelasin bukti sejauh ini"
"84","virus covid dat ditularkan di semua area"
"85","termasuk daerah dgn cuaca nas dan lembab sudahlah ga usah ada lagilembaga merintahbikin thread mcmstolemik ga jelas twittercommoibrjvowellklo gw gak setuju lockdownjust isolate urself at homedamk nya terlalu luas kalo lockdown"
"86"," ease think clear about itwelcome to indonesia dahal dari dulu kita sering sekali memakai ribahasa sedia yung sebelum hujan ta aku heran"
"87"," kena merintah kita ga meneraan ribahasa itu dalam menanggulangi covid  welcometoindonesiawarga twitter yang kusayang kita menyadari masih banyaknya kekurangan da merintah kita dalam mengatasi wabah covid ini kalau merintah kita memang serius harusnya indonesia sudah lockdown lebih dini mereka yang dari luar negeri masih bisa berkunjung ke indonesia ctwittercomtyehagbqwarga twitter simti dgn banyaknya karyawan yg di k karena damk corona kemarin kemarin minta lockdown"
"88"," bilangnya âburuan lockdown jangan korbanin nyawa masyarakatâ"
"89"," sekarang malah nyalahin esiden gimana siwarga indonesia bukan stress karna mikirin covid"
"90"," ta mikirin merintah nya yg ga tegas dan ga satu suarawarga indo di lckdwn aj bingung"
"91"," warga korea tan merintah ngasi kebijakan buat lckdwn aja mereka udh sadar diri"
"92"," bener kata seorang sien susct covid indonesia terlalu sombong utk menghada virus ini"
"93"," disaat negara lain menanggga serius"
"94"," indo malah dibuat becandaanwalaun sdh ada bbrlangkah strategis diambil merintah"
"95"," tteteblom ada titik terang u covid di indonesia odatau bahkan org dinggir jalan banyak yg diberitakan meninggal dlan without or care bener syedih n khawatirwahai masyarakat indonesia  yang masih nengabaikan himbauan merintah ttg covid inget aja makna dari mencegah lebih baik darida mengobati"
"96"," sedia yung sebelum hujanwahai kalian yang meminta lockdown"
"97"," kami org kecil"
"98"," terasa betul damk ekonomi dari rmasalahan ini faham juga bahaya nyakit"
"99"," ta meski dirumah aja"
"100"," ada beban s sekolah yg harus dibayar meski anak drmh aja"
"101"," listrik dan kok lainyawah"
"102"," tdk disngkah litisi sti andi arief"
"103"," sngt dungukau bikin malu demokrat aja andi ariefkau tdk ham sama sekali damk buruk yg sngt besar yg ditimbulkan jika merintah meneraan lockdownkmu benar litisi yg sngt dunguwah"
"104"," ini malah nambah masalah saat ini bukan saatnya nyinyir bukankah merintah sudah menghimbau rakyat indonesia untuk bersatu dan bergotongroyong melawan ndemik covidwah"
"105"," ini malah nambah masalah saat ini bukan saatnya nyinyir bukankah merintah sudah menghimbau rakyat indonesia untuk bersatu dan bergotongroyong melawan ndemik covidwaduh samyan belum ham damk lockdown da ekonomi rumahtangga  semua orang akan dirumahkan buruh harian golek duit dari mana   minggu lockdown  direct hit da ndatan mereka waduh waduh  mengabaikan semua himbauan merintah sat  meliburkan sekolah dan asn itu tujuannya untuk memrlambat rkembangan covid  k"
"106"," soalnya blm ada vaksinnya  kalo tiba tiba langsung banyak yg terr kan jadi bingung ngobatinnya wabah virus corona tidak akan rnah berakhir jika merintah tidak melarang warga china tetamasuk ke indonesiamau sami kan sholat dirumah ajal manusia sudah sti mau dia sholat di rumah ataun sholat berjamaah di mesjid takutlah keda allah dan bukan covid wabah virus corona tidak akan rnah berakhir jika merintah tidak melarang warga china tetamasuk ke indonesiamau sami kan sholat dirumah ajal manusia sudah sti mau dia sholat di rumah ataun sholat berjamaah di mesjid takutlah keda allah dan bukan covid wabah hanya bisa dicontain"
"107"," jika seluruh merintah nya strategi sama rsis home lockdown minggu jika tidak"
"108"," hanya bs mitigasi damkwabah covid seakan mensugesti kiran kita warga indonesia a yg ditakuti beneran terjadi menurut saya merintah dan media terlalu over dalam memberitahukan rakyatnya tentang damk virus corona seakan menakut nakuti merekawabah covid seakan mensugesti kiran kita warga indonesia a yg ditakuti beneran terjadi menurut saya merintah dan media terlalu over dalam memberitahukan rakyatnya tentang damk virus corona seakan menakut nakuti merekawabah covid merajalela dengan cet di indonesia akibat kengahan merintah sat sedari awal merintah sat menganggaenteng alagi menteri ngomongnya asbun salah anies jugawabah covid masih melanda indonesia"
"109"," jadi tetaah tinggal di rumah sesuai anjuran merintah"
"110"," serta jangan lu teraan rilaku hidubersih dan sehat bs ya salah satu cara menjaga kesehatan sobat ternakâ wabah covid ini banyak damk bagi semua"
"111"," termasik karyawan yg terkena k dari temt kerjanya"
"112"," aku ingin bertanya"
"113"," bagaimana sih mengatasi k saat ndemi corona"
"114"," agar kita tetamendatkan masukanndatan covidã covid bb karantina lockdown indonesiawabah covid ini bahaya garagara sangat mudah untuk menular dan telah menghilangkan ribuan nyawa dan indonesia masih santai merintah enjoy dengan menutu nya masyarakat santuy dengan liburannya mungkin bukan hal yg salah kalo semua org nya sehat tidak terdamk covidwabah covid di china"
"115"," rakyatnya saling menguatkan"
"116"," mereka kai slayer yg ada bendera china dan saling tolongmenolong di italia"
"117"," setiajendela rumah nduduk disang bendera italia"
"118"," untuk saling menguatkan di indonesia"
"119"," digunakan cara untuk menjatuhkan merintahwabah covid di china"
"120"," rakyatnya saling menguatkan"
"121"," mereka kai slayer yg ada bendera china dan saling tolongmenolong di italia"
"122"," setiajendela rumah nduduk disang bendera italia"
"123"," untuk saling menguatkan di indonesia"
"124"," digunakan cara untuk menjatuhkan merintahwabah covid di china"
"125"," rakyatnya saling menguatkan"
"126"," mereka kai slayer yg ada bendera china dan saling tolongmenolong di italia"
"127"," setiajendela rumah nduduk disang bendera italia"
"128"," untuk saling menguatkan di indonesia"
"129"," digunakan cara untuk menjatuhkan merintahwabah covid di china"
"130"," rakyatnya saling menguatkan"
"131"," mereka kai slayer yg ada bendera china dan saling tolongmenolong di italia"
"132"," setiajendela rumah nduduk disang bendera italia"
"133"," untuk saling menguatkan di indonesia"
"134"," digunakan cara untuk menjatuhkan merintahwabah covid di china"
"135"," rakyatnya saling menguatkan"
"136"," mereka kai slayer yg ada bendera china dan saling tolongmenolong di italia"
"137"," setiajendela rumah nduduk disang bendera italia"
"138"," untuk saling menguatkan di indonesia"
"139"," digunakan cara untuk menjatuhkan merintahwabah covid di china"
"140"," rakyatnya saling menguatkan"
"141"," mereka kai slayer yg ada bendera china dan saling tolongmenolong di italia"
"142"," setiajendela rumah nduduk disang bendera italia"
"143"," untuk saling menguatkan di indonesia"
"144"," digunakan cara untuk menjatuhkan merintahwabah covid di china"
"145"," rakyatnya saling menguatkan"
"146"," mereka kai slayer yg ada bendera china dan saling tolongmenolong di italia"
"147"," setiajendela rumah nduduk disang bendera italia"
"148"," untuk saling menguatkan di indonesia"
"149"," digunakan cara untuk menjatuhkan merintahwabah covid di china"
"150"," rakyatnya saling menguatkan"
"151"," mereka kai slayer yg ada bendera china dan saling tolongmenolong di italia"
"152"," setiajendela rumah nduduk disang bendera italia"
"153"," untuk saling menguatkan di indonesia"
"154"," digunakan cara untuk menjatuhkan merintahwabah covid  malaysia ikut a yg di rintahkan oleh kerajaanmerintah nya keras kela lisi dan tentara siamenciduk anda indonesia bikin raturan segala macam"
"155"," baik sat maun daerah sebagian rakyat ny cuek"
"156"," anggaenteng"
"157"," nyalahin merintahw rcaya kalo indonesia udah kena luhan bakan ratusan ribu orang ini karna merintah kurang ka buat meriksain rakyatnya test covid virus ini yg berbahaya adalah damk yang di berikan"
"158"," serti lockdown dan sekarang na di bebasin"
"159"," ketika semua orang di rumah"
"160"," bukan imun yang ia jaga lagi"
"161"," ta rlawanan ketika terjadi nya ncuriaan karena banyak yg tidak bisa memenuhi hiduya sendiri bahkan keluarganyavirus ini yg berbahaya adalah damk yang di berikan"
"162"," serti lockdown dan sekarang na di bebasin"
"163"," ketika semua orang di rumah"
"164"," bukan imun yang ia jaga lagi"
"165"," ta rlawanan ketika terjadi nya ncuriaan karena banyak yg tidak bisa memenuhi hiduya sendiri bahkan keluarganyautk kebaikan bersama mari sama sama mengikuti himbauan merintah dan semoga indonesia cet lih dari covid amin goodnighttwitterworld tundamudikcegahcorona indonesiakembalilihutk kebaikan bersama mari sama sama mengikuti himbauan merintah dan semoga indonesia cet lih dari covid amin goodnighttwitterworld tundamudikcegahcorona indonesiakembalilihusaha yang tiada henti dilakukan oleh merintah dan arat keamanan indonesia mari dukung mereka untuk rangi covid  dengan tetadi rumah saja ayobijakcegahcoronactwittercomkgqsuqmgiusaha yang tiada henti dilakukan oleh merintah dan arat keamanan indonesia mari dukung mereka untuk rangi covid  dengan tetadi rumah saja ayobijakcegahcoronactwittercomhfeixswlurus wae dagangan setu mu"
"166"," sokan mbelani ukm wabah ini sudah sti berdamk ke segala ask"
"167"," termasuk ekonomi kecil yang dituntut sekarang bagaimana kesian merintah untuk mengatasi semua damk dr ask tsb itu nek negoro ne kuat"
"168"," yo gak wedi lockdown suuate covid  hari ini di indonesia sitive  sembuh  meninggal  semoga ndemi covid  cet berlalu jaga jarak dulu ikuti himbauan merintah jangan mudik dulu demi orang orang yang kita kasihiâ uya dari merintah melalui  ogram jaring ngaman sosial dlm menekan damk wabah covid ini akan sangat membantu masyarakat indonesia terutama kalangan menengah kebawah  semoga bencana wabah ini segera berakhir dinegeri kita"
"169"," aamiin dirumahaja jagajarakduluctwittercomnrmbequntung k anis cuma gubenur untuk skala ovinsi okeh lah liburin anak sekolah dan untungnya esidennya k jokowi"
"170"," yg masih memikirkan banyak damk yg timbul kalo lockdown insyaallah indonesia akan baik saja aamiinuntung lah gub dki anis cet tsnggaklu di tunggu merintah sat ntahlah mau jadi a indonesia krn covid untuk sementara waktu tidak rlu lock down sebab damk yg ditimbulkan akan merugikan kedua belah hak saya msh yakin merintah jokowi bisa mengatasi masalah covid dgn baik sayarcayajokowi sayarcayajokowibisauntuk sementara waktu stobicara litik uate informasi rkembangan covid   di daerah kita masing dan tetawasda jalankan anjuran merintah mengenai ncegahan wabah secara tekhnis kesehatan"
"171","hindari kerumunan dan rbanyaklah berdoa yakinlah tuhan sayang indonesiauntuk seluruh masyarakat indonesia kita sebaiknya tetadi rumah mengikuti anjuran dari merintah untuk bisa memutuskan rantai covid"
"172"," jika kita semua konsisten berada di rumah insyaallah wabah ini akan cet berakhir"
"173"," dan kita semua bisa menyambut bulan ramadhanuntuk samasama menjaga indonesia ditengah ndemi covid mari kita tuhi anjuran merintah untuk sosialdistance dengan tetadi rumah dan menjaga kesehatan semoga ndemi ini segera berakhir dan kita semuaâ untuk ra warga santuy kalo nanti  amit amit  covid  di indonesia memburuk jangan nyalahin merintah yah heheh kalian tau kannn sia yang harus di salahin undangundang reblik indonesia nomor  tahun  tentang kekarantinaan kesehatan sal  uu tsb adalah yang ling dihindari oleh merintah sehingga sekuat tenaga menghindari lockdown walaun wabah covid telah meluas di nkri anjingking jkwlemottanganicorona ctwittercomgligsmdundangundang reblik indonesia nomor  tahun  tentang kekarantinaan kesehatan sal  uu tsb adalah yang ling dihindari oleh merintah sehingga sekuat tenaga menghindari lockdown walaun wabah covid telah meluas di nkri anjingking jkwlemottanganicorona ctwittercomgligsmdudahlah"
"174"," gausah nuntut ini itu dari merintah"
"175"," social distancing udh ling gamng untuk diteran di indonesia bantu aja dulu  hari keden untuk mutus nyebaran covid"
"176"," diliburkan bukan liburan lo ya staysafeathomeudah tahu damk lockdown rezim semakin terruk"
"177"," ekonomi kerakyatan tumbuh kartel china tumbangudah mas ga usah cengkal"
"178"," selama argumen masnya tetekyk gitu"
"179"," kalo udh rah sti teteaja terksa lockdown jangan mikir cuma yg kelas menengah bawah mas"
"180"," mikir damknya buat semua kalangan ga mikir damk buat tenaga medis ga mikir damknya buat negara kita sendiriudah males bgt gua nyinggung litik indonesia tuh haduhh cuma kadang gua geregetan banget lah anjir yauwd lah ya sia lah gua ini rakyat biasa yg ngetahuannya gak sebera"
"181"," semoga merintah kita dat menyelesaikan ndemi covid ini dengan cet amiiiiin ya allah ctwittercomnhjvqaoajudah bener semi lockdown dgn social distancing kaya gini"
"182"," kalo bener lockdown banyak damk yg harus ditanggung kedennyaudah baca berita hari ini damk lockdown di italia bagaimana  njarahan  itulah yg di hindari oleh negara kita kna lock down itu butuh mikiran yang benar matangtwit ini awal blundernya merintah"
"183"," meski saat twit ini dibuat indonesia blm declar covid sbg ndemik tseharusnya mengantisisi bukan mberikan insentif dan skrg virus itu meledak"
"184"," rakyat yg jd korban atas kesalahan ngelolaan ini sad tweeter ease do your magic keda rekan buzzer di indonesia mau sami kan kalian mencari kesalahan lawan anda bersatu melawan ndemic covid beri aesiasi keda merintah dan garda terden kita bantu sebisa kalian dukung mereka dan doakan yg telah menjadi korbanturut berduka cita semoga tidak ada lagi korban berjatuhan akibat covid ayo k ditunggu langkah konkrit dan jitu dari merintah utk membasmi corona dari bumi indonesia lawancovid lawancoronatunduk untuk melawan  tetasatu komando yaitu taat dan tuh terhadainstruksi merintah"
"185"," bersama kita menang"
"186"," indonesia sehat"
"187"," covid musnah dari bumi rtiwi eet na sraindonesia tarungdiujungsenja melawanluctwittercombiwaosdyxituh udh banyak sumbangan sm bermiliar utk indonesia"
"188"," belilah lagi obat sama a tuh lagi he merintah  gerce  coronaindonesia covidtuan dan an yang sangat khawatir ask ekonomi"
"189"," sejarah mengajarkan bahwa kota dengan damk ekonomi lebih kecil justru dengan lockdown sila cek twit di bawah ini karantinawilayahtu dengerin kalau masuk angin bisa aja di kerokin ta kalau carona yang ngerok juga ikut matijadi keda semua masyarakat indonesia semuanya yuk kita ikutin aturan merintah jangan keluar rumah agar terhindar dari virus covid  ini dirumahaja gerakanysicaldistancingctwittercomycemvujribute to garda terden covid tim medis"
"190"," merintah indonesia"
"191"," mereka yang bertahan untuk tidak mudik"
"192"," bertahan untuk tetadirumah"
"193"," bertahan untuk tetabekerja  scial thanks civitas akademika smusâ total sien covid di indonesia udah  lebih merintah mau giveaway a nihtolong rhatikan damk kedenya"
